combo,w,weighted_pct
HGB,197196.246856,29.22119292901299
BMI+WAIST+HGB,86640.024993,12.838605835859134
BMI+WAIST,71962.397106,10.66362632654076
WAIST+HGB,42282.459273,6.265554845126983
WAIST,30598.991736,4.534259932461411
BMI+HGB,29170.547007,4.322588261828543
BMI,23887.419406,3.5397169173746703
BMI+BP+WAIST,15940.022946,2.362045389931252
BMI+BP+WAIST+HGB,14283.990785,2.1166490599059227
BP+HGB,10034.239143,1.4869067873668587
BP,7587.41797,1.1243287226269243
BP+WAIST+HGB,3348.574009,0.4962027863822412
BP+WAIST,3327.984321,0.4931517382259569
BMI+BP,2982.210963,0.44191389691344496
BMI+BP+HGB,2856.86021,0.42333900720023016
BMI+GLU+WAIST+HGB,2182.510784,0.32341167596098663
BMI+GLU+WAIST,2108.110935,0.3123868599404971
BMI+BP+GLU+WAIST,1347.570634,0.1996874793988414
BMI+BP+GLU+WAIST+HGB,1107.276381,0.16407988118844774
GLU+HGB,551.341322,0.08169958301317881
GLU,447.049765,0.066245314706594
GLU+WAIST+HGB,320.907125,0.047553080555166605
GLU+WAIST,296.297601,0.04390635978760401
BMI+GLU,205.72958500000001,0.030485691235699414
BMI+GLU+HGB,176.535526,0.026159618888881665
BP+GLU+WAIST+HGB,170.36022,0.025244541594568536
BP+GLU,162.73017,0.02411389551654846
BP+GLU+HGB,148.639675,0.022025919302878626
BP+GLU+WAIST,133.79306,0.019825898723508362
BMI+BP+GLU,103.893986,0.015395354919138526
BMI+BP+GLU+HGB,90.104469,0.013351978622280549
